ASIN,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B082SYX2BJ,,,,,,,,,,,,,,
B082SZ1KF2,,,,,,,,,,,,,,
B082SZ38R5,,,,,,,,,,,,,,
B082SZ5NRQ,,,,,,,,,,,,,,
B082SZ64FZ,,,,,,,,,,,,,,
B082SZ7Z53,,,,,,,,,,,,,,
B082SZBP1D,,,,,,,,,,,,,,
B082SZCQJ4,,,,,,,,,,,,,,
B082SZFRVC,,,,,,,,,,,,,,
B082SZGHCX,,,,,,,,,,,,,,
B082SZVP1B,,,,,,,,,,,,,,
B082T14RVP,,,,,,,,,,,,,,
B082Z3J8L4,,,,,,,,,,,,,,
B082Z3LKHR,,,,,,,,,,,,,,
B082Z3W3CN,,,,,,,,,,,,,,
B082Z3X3CT,,,,,,,,,,,,,,
B082Z432MP,,,,,,,,,,,,,,
B082Z465WJ,,,,,,,,,,,,,,
B082Z47HJQ,,,,,,,,,,,,,,
B082Z492MK,,,,,,,,,,,,,,
B082Z4B4L1,,,,,,,,,,,,,,
B082Z4BS1W,,,,,,,,,,,,,,
B082Z4DDTR,,,,,,,,,,,,,,
B082Z4G6RW,,,,,,,,,,,,,,
B082Z4J7HS,,,,,,,,,,,,,,
B082Z4KNZ4,,,,,,,,,,,,,,
B082Z4L2VN,,,,,,,,,,,,,,
B082Z4L6H8,,,,,,,,,,,,,,
B082Z4P7S7,,,,,,,,,,,,,,
B082Z4S5Q4,,,,,,,,,,,,,,
B082Z4S6JX,,,,,,,,,,,,,,
B082Z4V61L,,,,,,,,,,,,,,
B082Z4WSN8,,,,,,,,,,,,,,
B082Z4WZKZ,,,,,,,,,,,,,,
B082Z4YFBP,,,,,,,,,,,,,,
B082Z4YXV5,,,,,,,,,,,,,,
B082Z4Z62W,,,,,,,,,,,,,,
B082Z4ZJ1B,,,,,,,,,,,,,,
B082Z56G82,,,,,,,,,,,,,,
B082Z5BWRM,,,,,,,,,,,,,,
B082Z5HCWK,,,,,,,,,,,,,,
B07DDDFPTM,,,,,,,,,,,,,,
B07DDD79YQ,,,,,,,,,,,,,,
B07DDC8ZSL,,,,,,,,,,,,,,
B07DDCYFTQ,,,,,,,,,,,,,,
