ASIN,url,buy_box_seller_name,buy_box_seller_price,lowest_price_seller_name,lowest_price_seller_price,seller_2_name,seller_2_price,seller_3_name,seller_3_price,seller_4_name,seller_4_price,seller_5_name,seller_5_price,seller_6_name,seller_6_price
B018VNYAFI,https://www.amazon.in/dp/B018VNYAFI/#aod,Visiaro India,₹ 207.00,Visiaro India,207,Industrial M,₹ 240.00,Cloudtail India,₹ 271.00,,,,,,
B018VNV82G,https://www.amazon.in/dp/B018VNV82G/#aod,Visiaro India,₹ 366.00,Visiaro India,366,Industrial M,₹ 412.00,Cloudtail India,₹ 455.00,,,,,,
B018VNYG8O,https://www.amazon.in/dp/B018VNYG8O/#aod,Visiaro India,₹ 246.00,Visiaro India,246,Industrial M,₹ 292.00,Cloudtail India,₹ 380.00,,,,,,
B018VNV57Y,https://www.amazon.in/dp/B018VNV57Y/#aod,Cloudtail India,₹ 338.00,Industrial M,335,Industrial M,₹ 335.00,Visiaro India,₹ 342.00,,,,,,
B018VNYBP2,https://www.amazon.in/dp/B018VNYBP2/#aod,Visiaro India,₹ 229.00,Visiaro India,229,Industrial M,₹ 273.00,Cloudtail India,₹ 360.00,,,,,,
B018VNUI86,https://www.amazon.in/dp/B018VNUI86/#aod,Visiaro India,₹ 196.00,Visiaro India,196,Industrial M,₹ 228.00,Cloudtail India,₹ 350.00,,,,,,
B018VNUYLM,https://www.amazon.in/dp/B018VNUYLM/#aod,Visiaro India,₹ 246.00,Visiaro India,246,Industrial M,₹ 292.00,Cloudtail India,₹ 385.00,,,,,,
B018VNVPPG,https://www.amazon.in/dp/B018VNVPPG/#aod,Cloudtail India,₹ 495.00,Visiaro India,487,Visiaro India,₹ 487.00,Industrial M,₹ 552.00,,,,,,
B018VNXXI8,https://www.amazon.in/dp/B018VNXXI8/#aod,Visiaro India,₹ 180.00,Visiaro India,180,Industrial M,₹ 212.00,Cloudtail India,₹ 335.00,,,,,,
B018VNYLFC,https://www.amazon.in/dp/B018VNYLFC/#aod,Visiaro India,₹ 272.00,Visiaro India,272,Cloudtail India,₹ 311.00,Industrial M,₹ 317.00,,,,,,
B08TVZVH5G,https://www.amazon.in/dp/B08TVZVH5G/#aod,Cloudtail India,"₹ 14,500.00",Cloudtail India,14500,,,,,,,,,,
B08TW1M263,https://www.amazon.in/dp/B08TW1M263/#aod,Cloudtail India,"₹ 5,600.00",Cloudtail India,5600,,,,,,,,,,
B08TVYHQKC,https://www.amazon.in/dp/B08TVYHQKC/#aod,Cloudtail India,"₹ 19,800.00",Cloudtail India,19800,,,,,,,,,,
